file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,33
style.css,2,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,0,4
style.css,3,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,1,23
style.css,4,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,0,0
style.css,5,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,6,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,5
style.css,7,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,45
style.css,8,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,9,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,10,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,50
style.css,11,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,4
style.css,12,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,1,43
style.css,13,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,2,42
style.css,14,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,1,0
style.css,15,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,1,23
style.css,16,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,15
style.css,17,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,18
style.css,18,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,11
style.css,19,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,20,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,21,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,22,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,39
style.css,23,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,3
style.css,24,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,12
style.css,25,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,17
style.css,26,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,0,0
style.css,27,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,1,39
style.css,28,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,1,43
style.css,29,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,30,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,31,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,37
style.css,32,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,5
style.css,33,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,6
style.css,34,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,17
style.css,35,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,20
style.css,36,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,13
style.css,37,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,13
style.css,38,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,39,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,40,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,35
style.css,41,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,13
style.css,42,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,45
style.css,43,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,20
style.css,44,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,45,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,0
style.css,46,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,42
style.css,47,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,0,11
style.css,48,css,f785317b,NainikaSai09,2026-04-06,10:40:50,-07:00,2026-04-06T10:40:50-07:00,1,45
style.css,49,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,1,69
style.css,50,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,0
style.css,51,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,0
style.css,52,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,2
style.css,53,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,1,16
style.css,54,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,0
style.css,55,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,0
style.css,56,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,1
style.css,57,css,09bfde45,NainikaSai09,2026-04-14,14:20:37,-07:00,2026-04-14T14:20:37-07:00,1,16
style.css,58,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,0
style.css,59,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,0
style.css,60,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,0,3
style.css,61,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,1,13
style.css,62,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,1,15
style.css,63,css,6f106eb4,NainikaSai09,2026-04-01,21:32:05,-07:00,2026-04-01T21:32:05-07:00,1,18
style.css,64,css,0563d8b4,NainikaSai09,2026-04-02,13:21:32,-07:00,2026-04-02T13:21:32-07:00,1,14
